"","abond.norm","abond.bi","abond.logit","Richness","NonEndeRich","Endemic","Abundance","Shannon","Simpson"
"400140",102899.206315378,55758.192642468,38996.4471960003,207,188,19,197653.846153846,3.78150974949028,0.92044108463684
"400149",123402.504736701,60809.8026231665,46831.907127433,200,181,19,231044.2144873,3.70292160946197,0.914300782086623
"400235",605888.236909779,231173.19099494,40999.4085971812,139,135,4,878060.8365019,2.70661566222524,0.717421442611109
"400244",585353.26388179,221856.045623773,42079.7900205032,116,116,0,849289.099526067,2.72633740510977,0.733115214369228
"400355",144789.647099595,54116.4780304833,35304.4011857103,139,134,5,234210.526315789,3.36830998100093,0.860302862571995
"400365",202827.462613841,50324.4049396011,39790.1829666172,79,78,1,292942.050520059,3.14464529949366,0.881290127916234
"400468",453527.109588401,151010.162538052,18728.4346798297,111,110,1,623265.706806283,2.81135562169331,0.779502048215359
"400795",168952.617692042,60764.1781489417,58668.1095436316,197,192,5,288384.905384615,3.53381066369195,0.852812893293715
"400804",161260.325543827,60830.9280068756,52271.9575285007,172,169,3,274363.211079203,3.33358468110971,0.838122987160564
"407863",176113.774645662,71647.0411347125,34852.2496195268,152,151,1,282613.065399901,3.15667586229992,0.822644618410522
"407872",168647.997939552,65347.7760378371,29640.6596589745,129,125,4,263636.433636364,3.11842509541745,0.842819643568466
"408031",479238.322571475,165885.668790001,33998.2656918155,140,138,2,679122.257053292,2.86220589437492,0.747673162349114
"408040",712591.961904559,234873.842287001,61787.3352664697,110,110,0,1009253.13945803,3.20437680043245,0.858329211708472
"408231",423143.880207296,189359.795869834,50587.2330137792,108,107,1,663090.909090909,3.19575158905609,0.838600166717518
"408386",219817.810545039,69211.3667949788,56387.295438018,82,76,6,345416.472778036,2.54367663303149,0.745702229187463
"408396",242367.526173613,74533.0062120335,33050.2307852063,145,143,2,349950.763170852,2.69679954778229,0.714841186827014
"433238",773164.336003371,183757.244210463,32550.682008388,107,105,2,989472.262222222,2.45998473372946,0.726863341435126
"433246",447863.736061925,114672.114018639,34464.2799194358,115,115,0,597000.13,2.75641235129788,0.788710784554889
"433310",470147.671985157,190801.780437512,30356.1031328876,118,118,0,691305.555555556,2.95879894992232,0.825096675031777
"433318",667814.531842635,229477.885168949,30763.1885439723,119,117,2,928055.605555556,2.53671838180613,0.723162194912441
"433434",423499.850813798,196507.656737646,31853.6035596669,147,146,1,651861.111111111,2.69292582194458,0.730942574733233
"433442",402186.976678141,174876.714521832,28158.5310222496,133,127,6,605222.222222223,2.49683007912997,0.699108428898771
"433561",187121.432669559,81901.6661866511,21949.1233660115,126,125,1,290972.222222222,2.88748621427619,0.795555526617171
"433569",306605.665809401,150666.314079869,52478.0201107302,110,110,0,509750,3.06925120784243,0.878125634067561
"433635",472307.98670704,240183.914763377,33313.6540851394,118,118,0,745805.555555556,2.6840539868328,0.768772638487626
"433643",527832.775891105,210211.543415628,47039.0140266001,148,146,2,785083.333333333,2.50631418688791,0.671853422934201
"433938",260781.263304888,68881.9752078203,85795.1240476777,221,206,15,415458.362560386,3.40700986465542,0.848058316035074
"433946",240918.905205672,74059.3466553384,82890.747172806,163,160,3,397868.999033816,3.40459571907162,0.852022662396592
